,type,weight,dataset,source,target,key,srcid,tgtid,etid
0,ownership,0.90013963,MC1,Spanish Shrimp  Carriers,12744,0,U0000,U0001,3
1,partnership,0.8458973,MC1,Spanish Shrimp  Carriers,21323516,0,U0000,U0009,4
2,partnership,0.9648761,MC1,Spanish Shrimp  Carriers,290834957,0,U0000,U0054,4
3,ownership,0.9642126,MC1,Spanish Shrimp  Carriers,3506021,0,U0000,U0077,3
4,family_relationship,0.82348585,MC1,Spanish Shrimp  Carriers,Conventionâ,0,U0000,U0222,1
5,family_relationship,0.8931523,MC1,Spanish Shrimp  Carriers,2262,0,U0000,U0136,1
6,family_relationship,0.8393061,MC1,Spanish Shrimp  Carriers,Ashley Davis,0,U0000,U0238,1
7,family_relationship,0.88508075,MC1,Spanish Shrimp  Carriers,924,0,U0000,U0239,1
8,family_relationship,0.8865156,MC1,Spanish Shrimp  Carriers,95,0,U0000,U0080,1
9,membership,0.8986875,MC1,Spanish Shrimp  Carriers,Ancla Azul Company Solutions,0,U0000,U3116,2
10,partnership,0.87834406,MC1,Spanish Shrimp  Carriers,185106,0,U0000,U0188,4
11,family_relationship,0.9664978,MC1,Spanish Shrimp  Carriers,Stephanie Garner,0,U0000,U0418,1
12,membership,0.95491886,MC1,Spanish Shrimp  Carriers,âpair,0,U0000,U3117,2
13,ownership,0.906598,MC1,Spanish Shrimp  Carriers,Guessl,0,U0000,U3118,3
14,ownership,0.85037404,MC1,Spanish Shrimp  Carriers,Federated,0,U0000,U3119,3
15,family_relationship,0.8211689,MC1,Spanish Shrimp  Carriers,94760735,0,U0000,U0633,1
16,membership,0.84271693,MC1,Spanish Shrimp  Carriers,Act,0,U0000,U0212,2
17,family_relationship,0.91274184,MC1,Spanish Shrimp  Carriers,83,0,U0000,U0169,1
18,ownership,0.8865423,MC1,Spanish Shrimp  Carriers,imo,0,U0000,U0743,3
19,partnership,0.92457855,MC1,Spanish Shrimp  Carriers,Torremolinos,0,U0000,U0741,4
20,ownership,0.91700685,MC1,Spanish Shrimp  Carriers,International-Convention,0,U0000,U0742,3
21,membership,0.8683886,MC1,Spanish Shrimp  Carriers,logo,0,U0000,U0718,2
22,membership,0.85606986,MC1,Spanish Shrimp  Carriers,551,0,U0000,U0144,2
23,membership,0.92410904,MC1,Spanish Shrimp  Carriers,Dana Goodwin,0,U0000,U0473,2
24,membership,0.8302771,MC1,Spanish Shrimp  Carriers,Misty Thomas,0,U0000,U0894,2
25,membership,0.8621031,MC1,Spanish Shrimp  Carriers,Turkish Sword Buoy Incorporated Forwading,0,U0000,U0183,2
26,partnership,0.8461635,MC1,Spanish Shrimp  Carriers,314,0,U0000,U0895,4
27,partnership,0.8549085,MC1,Spanish Shrimp  Carriers,56,0,U0000,U0890,4
28,membership,0.86141807,MC1,Spanish Shrimp  Carriers,2983,0,U0000,U0941,2
29,family_relationship,0.8872652,MC1,Spanish Shrimp  Carriers,FinestSea Ltd. Corporation Enterprises,0,U0000,U3120,1
30,membership,0.89786583,MC1,Spanish Shrimp  Carriers,653,0,U0000,U0963,2
31,membership,0.8220973,MC1,Spanish Shrimp  Carriers,Icelandic Shrimp Corporation Transport,0,U0000,U3121,2
32,membership,0.8432206,MC1,Spanish Shrimp  Carriers,1094345,0,U0000,U0973,2
33,membership,0.8699905,MC1,Spanish Shrimp  Carriers,7691,0,U0000,U0403,2
34,membership,0.86455804,MC1,Spanish Shrimp  Carriers,341,0,U0000,U0972,2
35,membership,0.80229217,MC1,Spanish Shrimp  Carriers,Lake Mweru A/S Carriers,0,U0000,U3122,2
